N,cpu_time,exec_time,user_time,sys_time
64,1126323e-9,0.003,0.001,0.002
128,11944e-6,0.014,0.011,0.003
256,81e-3,0.083,0.079,0.004
512,597e-3,0.598,0.594,0.004
1024,5562e-3,5.565,5.553,0.012
