N,cpu_time,exec_time,user_time,sys_time
64,68849907e-9,0.095,0.091,0.004
128,770499453e-9,0.832,0.813,0.02
256,6401190748e-9,6.476,6.449,0.016
512,44882045281e-9,45.067,44.939,0.056
1024,341909757508e-9,342.339,341.442,0.172
